	positive_in_degree	positive_out_degree	negative_in_degree	negative_out_degree
22188	16	5	0	0
22189	1	68	0	0
22190	4	0	0	0
5827	12	12	1	0
6079	10	0	4	1
16270	15	133	7	30
19463	2	3	1	7
20375	2	0	5	1
21518	7	73	3	73
22863	2	49	0	2
41871	6	0	0	0
42994	2	5	0	0
42995	8	0	0	0
42996	1	0	0	0
42997	0	2	1	2
42998	0	3	1	8
42999	4	56	4	75
43000	0	7	1	5
43001	1	15	2	3
10134	2	37	1	2
25782	1	1	0	0
43002	1	0	0	0
43003	1	1	0	0
33762	3	19	0	3
4702	3	1	0	0
12327	6	2	1	1
12339	9	10	1	0
12724	2	5	4	4
16204	3	16	0	0
16521	2	1	0	0
18512	4	14	1	2
19994	3	0	4	0
20764	5	0	2	0
21538	4	0	2	0
23012	2	0	0	0
23014	10	6	2	0
23015	1	0	0	0
23017	3	0	0	3
23019	7	2	0	0
23020	3	2	0	0
23022	1	0	0	0
23024	2	2	0	0
23026	6	0	2	0
23030	1	0	0	0
23031	1	0	0	0
23032	2	0	0	0
23033	6	5	3	4
23034	1	2	1	2
23035	10	0	2	0
23036	0	0	2	3
23037	4	19	2	1
23038	0	0	1	0
23039	0	1	1	0
6070	4	1	0	0
6531	4	2	0	0
7690	5	3	3	2
9294	8	7	1	0
9690	5	4	1	0
10396	9	5	3	1
14735	7	0	0	0
14802	5	0	0	0
24171	2	0	0	0
24925	5	0	0	0
25148	6	0	2	0
33138	10	0	3	0
34474	4	0	1	0
35070	1	0	0	0
35071	3	0	0	0
35072	2	0	0	0
35074	1	0	0	0
35075	2	0	0	0
35076	4	0	0	0
35077	5	3	1	2
35078	1	0	0	0
35079	3	0	2	0
43004	1	0	0	0
17317	7	0	0	0
18176	1	2	1	0
37226	2	1	0	0
43005	1	0	0	0
43006	1	0	0	0
43007	1	7	0	1
43008	1	18	0	0
43009	1	0	0	0
43010	1	2	0	0
43011	4	1	0	0
43012	1	0	0	0
43013	1	1	0	0
15516	13	0	1	0
17841	9	99	2	14
4581	14	17	3	3
5141	3	2	15	0
7673	7	3	8	0
12290	1	0	0	0
12296	8	63	10	8
12297	1	2	0	0
12300	4	2	0	0
12304	1	0	0	0
12307	3	2	0	1
12311	1	4	0	0
12312	1	4	0	0
12313	5	20	1	4
12315	4	36	1	6
12316	1	0	0	0
12318	5	0	0	0
12319	1	0	0	0
12329	1	0	1	0
12330	1	0	0	0
12332	2	0	0	0
12333	8	1	6	0
12337	1	0	0	0
27245	4	20	2	3
43014	1	0	0	0
10307	10	0	0	0
39625	1	1	0	0
3653	2	9	2	0
19150	11	145	1	6
19386	3	16	0	11
19548	2	5	1	0
35909	4	22	0	3
43015	3	0	0	0
43016	1	1	0	0
43017	1	6	0	5
43018	1	23	0	0
43019	1	0	0	0
43020	1	0	0	0
43021	1	1	0	0
43022	1	1	0	0
43023	0	0	2	0
20885	4	11	6	3
30692	2	1	2	0
43024	1	2	0	0
6944	43	7	5	1
21115	5	0	0	0
23547	1	0	1	0
43025	1	0	0	0
43026	2	0	0	0
43027	3	0	0	0
1986	11	0	5	0
2464	0	16	1	2
6140	6	5	6	1
43028	0	0	1	0
13466	14	57	2	2
23536	1	0	0	0
23537	4	11	1	4
23538	2	2	1	0
23539	4	0	2	0
23540	1	0	6	0
23541	1	0	0	1
23543	1	0	0	0
23545	0	0	1	0
23546	2	3	1	2
23548	0	0	3	0
13236	2	0	2	0
13244	2	0	1	1
19804	8	0	1	0
28057	3	0	3	62
43029	1	0	0	0
43030	2	3	3	1
43031	3	0	0	0
43032	4	0	0	0
1897	0	2	0	0
1899	2	2	0	0
1900	2	1	0	0
1902	2	4	0	0
1904	2	0	0	0
13159	9	0	0	0
43033	10	0	0	0
10140	4	0	0	0
14240	13	0	0	0
14855	5	6	0	0
22815	1	8	2	1
1908	0	1	0	0
1909	0	1	0	0
1910	0	4	0	2
1912	2	0	0	0
19940	3	1	25	0
43061	0	0	1	0
12962	6	0	2	0
17744	9	14	0	20
24213	2	6	0	1
26140	3	4	0	0
43062	1	0	0	0
43063	2	2	0	0
43064	1	0	0	0
43065	0	0	1	0
43066	0	0	1	0
43067	1	2	1	0
1914	4	9	1	39
1917	1	1	0	0
1925	0	0	6	0
1941	8	19	13	0
1943	0	0	1	11
6424	3	0	0	0
36888	3	9	2	3
43068	7	0	0	0
43077	0	0	1	0
6804	4	5	1	0
6814	4	0	1	0
8536	7	0	1	0
16381	3	5	2	3
19724	2	0	7	0
36484	4	1	1	0
41578	1	0	3	0
43078	2	0	0	0
43079	2	0	0	0
43080	1	7	1	1
4393	7	25	6	15
5851	5	1	3	0
8535	4	19	6	5
10058	4	27	5	38
10647	7	0	1	0
13293	5	0	11	27
14339	2	5	1	0
14613	5	19	2	5
17027	4	36	2	15
17533	3	0	2	0
19790	12	13	2	116
19806	3	0	3	0
20719	3	14	1	46
23221	4	19	2	0
23365	3	3	1	1
25821	1	1	1	0
26438	1	11	1	0
27878	0	3	1	0
37384	2	4	2	24
37759	1	0	1	3
41071	1	0	0	0
41072	10	0	0	0
41073	12	0	0	0
41074	1	0	1	0
41075	0	0	2	0
41076	1	1	1	0
41077	0	0	1	0
41078	0	0	1	0
41079	0	0	1	0
41080	0	11	4	33
41081	0	1	1	0
41082	0	0	1	0
41083	0	1	2	0
41084	0	0	1	0
41085	0	0	1	1
41086	10	0	2	0
41087	0	1	1	0
41088	0	0	1	1
41089	3	0	1	0
41090	2	11	1	0
41091	0	0	1	0
41092	0	0	2	0
41093	1	2	1	0
41094	3	1	2	0
41095	1	4	3	0
41096	0	2	2	1
41097	0	0	2	1
41098	1	5	5	4
41099	0	11	1	1
41100	1	9	1	0
41101	0	0	1	2
41102	0	2	1	1
41104	2	6	1	0
2824	12	39	2	30
3679	2	25	1	22
4259	7	35	3	0
4397	7	3	1	40
6954	4	0	4	0
6969	10	16	4	0
11537	4	8	2	4
11783	6	4	0	16
12539	5	7	0	1
12547	4	1	3	10
12642	2	0	1	0
14310	3	2	0	1
14503	4	26	2	63
15174	3	62	1	23
16186	2	9	0	7
16388	3	0	1	0
16672	8	0	3	0
22793	2	8	0	10
24132	15	13	2	23
27008	6	20	1	15
28038	1	0	0	0
28040	6	15	2	18
28041	1	0	0	0
28043	2	8	2	78
28045	2	13	0	3
28046	4	10	2	0
28047	1	0	0	0
28048	1	5	0	4
28049	1	3	0	1
28050	1	9	1	6
28051	15	2	7	0
28052	1	0	0	0
28053	1	0	0	0
28054	1	0	0	0
28055	4	9	0	1
28056	2	0	3	0
28058	2	0	1	0
28059	2	0	0	0
28060	1	0	0	2
28061	1	0	0	2
28062	1	0	0	0
28063	2	1	0	9
28064	5	3	0	9
28065	1	0	0	0
28066	1	3	1	0
28067	1	0	0	2
28068	1	1	0	5
28069	1	0	0	9
28070	1	0	1	0
28072	1	0	0	1
28075	2	3	1	0
28077	1	1	0	11
28078	1	0	1	0
28079	1	0	0	0
28080	1	1	1	2
28081	1	0	0	1
28082	1	0	0	0
28083	1	18	0	6
28084	1	0	1	0
28086	1	0	0	0
6472	2	2	0	4
12548	20	15	1	0
14491	2	0	0	0
32443	2	0	3	0
33389	4	1	0	2
41111	3	0	2	0
43081	3	0	0	0
43082	1	3	0	0
12035	6	5	1	2
12550	11	0	0	0
19508	3	7	4	0
22690	2	5	3	0
24531	5	2	2	0
28196	2	0	0	0
43083	1	3	0	0
43084	8	6	1	0
43085	2	0	0	0
43086	2	0	0	0
43087	3	1	0	0
14380	11	4	2	1
36974	3	0	1	1
43088	2	3	1	0
43089	1	36	1	2
7720	4	1	1	0
14362	2	0	2	0
14392	3	0	2	0
29671	8	0	0	0
43090	2	0	0	0
43091	3	0	0	0
43092	2	6	1	1
19942	1	1	0	1
17741	4	0	2	0
43093	1	0	0	0
6810	4	15	4	1
7675	2	10	2	5
12631	4	10	1	2
12632	1	1	1	0
12633	3	1	2	0
12635	1	1	1	0
12638	2	0	2	2
12639	1	0	1	0
12640	1	0	1	0
12643	1	0	1	0
12644	3	0	3	0
12646	1	0	1	0
12648	2	4	2	0
12650	1	0	1	0
12651	4	0	2	0
12652	1	0	1	0
12654	3	10	1	0
12658	1	0	1	0
12659	1	0	1	0
12660	1	0	1	0
12663	1	1	1	0
12664	1	1	1	0
12665	1	0	1	0
12666	1	0	1	0
12667	1	0	1	0
12668	1	0	0	0
12669	1	0	1	0
12670	2	16	2	1
12672	1	0	1	0
12673	1	6	7	0
12674	1	0	2	0
12675	3	1	4	0
12676	1	0	1	0
12677	1	0	1	0
12678	1	1	1	0
12679	1	0	1	0
12680	1	1	2	1
12681	1	1	1	0
12684	1	0	1	0
12686	0	0	1	0
12689	6	1	1	0
12691	0	0	1	0
7499	3	0	0	0
8532	8	0	7	0
9733	3	5	1	0
15302	3	2	1	8
17913	5	6	0	2
19532	5	0	1	0
21580	5	0	1	2
22654	8	0	0	0
23144	5	4	1	0
24712	12	15	0	8
25230	3	33	1	3
25802	4	13	1	4
34321	3	0	0	0
40602	3	1	2	11
43094	2	0	0	0
43095	1	0	0	0
43096	1	0	0	1
43097	1	4	0	1
43098	1	0	0	1
43099	2	6	0	2
43100	1	0	0	0
43101	1	1	0	0
43102	1	0	0	1
43103	1	0	0	2
43104	1	2	0	1
43105	2	3	2	24
43106	1	3	0	0
43107	2	0	0	0
43108	2	0	0	0
43109	1	7	0	1
43110	1	1	0	4
43111	2	2	0	0
43112	2	2	0	1
43113	4	1	0	8
43114	1	4	0	0
43115	2	5	0	12
7501	1	12	1	0
30730	7	1	0	0
43116	1	0	0	0
43117	1	0	0	0
43118	3	13	2	5
43119	2	5	0	0
43120	1	1	0	0
43121	3	3	6	0
43122	2	0	0	0
43123	3	1	0	0
37389	8	1	1	0
43124	1	3	1	3
43125	3	2	1	0
43126	3	3	0	0
43127	0	0	1	0
43128	8	0	0	0
6801	4	0	0	0
7699	4	2	1	0
7703	4	0	0	0
14391	3	1	4	0
20548	7	0	0	0
25229	1	0	0	0
41125	6	0	0	0
43129	3	0	0	0
7697	19	15	5	2
7698	11	0	1	0
43130	5	0	0	0
43131	9	15	0	2
43132	9	0	0	0
43133	9	15	0	2
43134	6	0	0	0
43135	9	15	0	2
43136	9	14	0	2
43137	9	15	0	2
43138	10	0	0	0
43139	9	15	0	2
43140	9	15	0	2
43141	1	0	10	3
1954	1	0	0	0
1955	1	10	0	0
1959	3	1	0	0
1962	8	0	1	0
1968	3	1	2	0
1972	11	2	2	1
1973	1	1	0	0
1978	5	6	3	0
1980	1	0	0	0
1982	5	2	0	0
1983	8	15	2	6
1985	1	0	2	0
1987	1	0	1	0
1994	4	1	2	3
1996	0	0	2	0
2005	6	1	4	0
2006	1	11	2	0
2011	0	0	1	0
2012	0	5	1	2
2014	3	10	1	0
2018	2	2	1	0
2021	0	0	1	0
2024	1	0	1	0
2027	0	17	3	24
2030	1	0	1	0
2031	3	1	1	0
2035	0	0	1	0
2036	6	2	3	4
2046	3	0	2	0
2047	6	4	3	1
2050	0	1	2	0
2051	3	4	5	15
2052	1	0	1	0
2053	5	15	3	27
2056	8	2	1	0
2058	2	7	6	0
2066	4	7	1	3
2071	4	0	4	0
2073	11	0	1	0
2075	4	5	1	0
2081	0	1	1	0
2082	4	4	1	0
2091	2	2	1	0
12924	19	0	0	0
43142	1	0	0	0
43143	1	0	0	0
43144	1	5	0	0
43145	1	0	0	0
43146	1	0	0	0
43147	1	0	0	0
43148	1	0	0	0
43149	1	0	0	0
43150	0	0	1	0
19442	8	25	1	0
34536	2	36	4	2
5794	6	0	2	0
6825	4	4	0	0
28545	8	0	7	0
43151	4	7	0	0
43152	2	3	0	0
13417	6	69	0	2
13424	3	27	0	2
13428	2	0	0	0
13429	18	34	1	2
17673	16	0	0	0
21812	9	1	1	0
21813	5	0	0	0
21816	6	11	2	0
21817	1	3	0	0
21819	6	4	2	0
21820	3	38	1	21
21821	1	0	0	0
21822	4	12	0	0
21824	1	1	0	0
21909	4	6	0	0
22679	1	3	1	3
25041	3	0	3	0
25042	5	3	1	0
18640	13	44	4	0
19931	7	0	0	0
41479	5	1	0	0
43153	3	5	1	0
7749	2	0	0	0
11108	8	2	4	2
22929	9	0	1	0
24849	4	10	1	0
43154	1	0	0	0
43155	4	12	2	3
43156	1	0	0	0
27261	7	1	0	0
43157	1	2	0	0
27046	1	2	0	0
43158	1	0	0	0
6488	4	2	4	2
12853	26	0	0	0
19226	26	0	4	0
25182	12	12	1	0
26116	5	8	0	0
2758	2	4	10	2
3954	4	0	0	0
4618	1	4	2	3
8999	14	8	3	0
9594	3	0	0	0
10218	1	1	2	0
11852	8	7	0	0
12006	27	15	25	3
13087	18	1	2	1
16164	8	9	10	7
17560	18	2	0	0
20308	2	0	1	0
20310	0	0	2	0
24110	3	4	2	0
24363	5	169	2	12
24773	8	0	1	0
24803	4	2	2	0
25590	4	5	6	41
26305	3	0	0	0
27262	4	12	2	3
29307	7	20	1	13
29866	0	0	3	0
30951	1	0	3	0
32791	4	3	0	1
33999	2	0	2	0
34046	5	0	0	0
37049	2	0	0	0
37265	5	0	0	3
38246	2	1	0	0
38247	1	1	0	0
38248	7	4	0	2
38249	2	0	0	0
38250	4	3	0	0
38251	1	0	0	0
38252	1	0	0	0
38253	1	1	1	0
38254	2	1	1	0
38256	4	0	0	0
38257	0	0	1	1
38259	0	1	1	1
38260	0	0	1	0
38262	0	0	1	0
30808	5	0	0	0
43230	1	1	0	0
15334	4	0	1	0
24980	3	0	0	0
43231	3	0	0	1
43232	3	1	0	0
43233	2	0	0	0
9247	7	1	5	0
16017	5	32	0	10
43234	1	0	0	0
43235	2	0	0	0
43236	1	0	0	0
43237	4	34	1	0
43238	2	0	0	0
43239	1	0	0	0
43240	1	0	0	0
43241	1	4	0	0
43242	1	0	0	0
11811	5	27	0	0
43243	1	3	0	0
43244	3	2	0	0
43245	2	11	0	0
43246	1	0	0	0
10357	4	17	5	39
43247	2	7	1	16
22799	2	7	0	2
23915	6	3	0	1
30434	9	1	0	0
30805	2	2	1	0
43248	1	0	0	0
43249	3	2	0	0
43250	0	0	1	0
43251	1	0	1	0
43252	0	0	1	0
43253	1	3	0	0
43254	2	0	0	1
43255	1	1	0	0
43256	3	0	0	1
14352	3	0	4	0
16187	7	38	4	0
31572	1	13	2	0
5860	4	2	2	2
19047	3	14	1	2
20034	4	0	0	0
30435	5	0	1	0
11829	5	20	1	19
13822	9	13	2	0
24143	6	18	3	16
43257	1	0	0	0
43258	1	11	1	1
43259	1	0	0	0
43260	2	2	1	1
43261	4	25	0	0
43262	1	0	0	0
32430	2	9	1	0
32431	2	0	0	0
11861	1	2	4	1
16647	6	6	5	93
21007	11	0	0	0
27026	5	33	5	15
27824	6	128	6	58
32530	0	0	3	0
37728	1	0	4	3
37729	0	9	4	8
37731	3	10	4	5
37732	0	4	5	12
37735	0	0	4	1
37736	3	7	6	2
37738	0	5	4	23
39623	0	0	2	0
39624	0	0	4	1
43263	1	0	0	0
43264	5	0	0	0
43265	3	0	0	0
43266	1	2	0	0
43267	1	0	2	0
43268	2	0	0	0
43269	2	26	0	6
43270	0	0	2	62
43271	0	13	1	3
16784	10	5	0	1
16443	5	0	3	0
43272	1	0	0	0
43273	1	1	0	0
5846	17	13	6	0
10538	3	2	4	2
23332	7	0	2	0
37111	8	1	1	0
24687	5	0	1	1
25600	5	0	0	0
31388	1	0	3	13
43274	0	0	2	0
43275	0	0	1	0
15253	2	1	0	0
43276	3	4	0	0
6454	15	0	1	0
21257	10	2	2	0
43277	1	0	1	0
43278	1	3	0	0
3382	3	0	5	1
3739	11	0	2	0
8830	1	8	1	0
10075	5	3	8	7
11930	3	1	1	0
23825	5	0	1	0
25270	3	3	2	2
25318	11	0	4	0
33006	7	6	1	0
37979	0	0	2	0
43279	1	0	0	0
43280	4	4	1	0
43281	0	0	6	0
43282	0	0	1	2
43283	1	0	1	0
43284	0	0	1	0
43285	0	0	1	0
43286	0	0	2	0
43287	0	0	1	0
43288	0	0	1	0
43289	0	0	1	0
43290	0	0	6	0
43291	2	0	10	23
43292	0	0	6	0
43293	1	0	1	0
43294	4	0	2	0
43295	0	0	3	0
43296	0	0	1	0
43297	2	1	1	0
43298	0	0	1	0
43299	0	0	1	0
43300	0	0	1	1
43301	1	0	4	0
43302	0	0	1	0
43303	0	0	1	0
43304	0	2	3	2
43305	1	1	1	0
43306	4	3	0	0
3664	8	7	2	0
3756	9	0	2	1
13050	1	1	1	0
43307	3	0	0	0
43308	1	1	0	0
3519	15	1	13	0
14156	3	15	8	10
16899	0	0	5	0
16945	8	11	2	0
17286	6	0	12	0
21266	8	0	2	0
43309	2	0	3	0
43310	0	2	1	0
43311	0	0	1	0
43312	0	0	1	0
43313	0	0	1	0
43314	1	0	1	0
43315	0	0	2	0
14056	2	0	0	0
2382	23	0	0	0
15079	2	0	3	5
28015	3	3	2	0
40565	2	0	0	0
41958	2	0	0	0
43316	1	0	0	0
43317	1	0	0	0
32733	6	10	3	0
43318	2	1	0	0
17767	16	0	0	0
32735	6	6	2	0
43319	6	1	1	1
16696	7	6	0	0
43320	2	3	1	0
12939	2	2	0	0
19635	12	0	4	0
32712	3	0	0	0
33907	4	0	1	0
38631	1	0	4	0
17266	7	1	1	0
26272	4	1	0	0
38354	2	3	2	4
38355	1	0	1	0
38356	1	0	0	0
38357	2	0	0	0
43221	0	11	2	0
21584	4	15	1	4
43321	9	0	0	0
27948	5	1	0	0
43322	2	1	0	0
17318	7	0	2	1
10199	5	4	4	0
16378	2	22	1	22
18781	2	11	2	7
43323	8	6	0	0
43324	3	0	1	0
43325	0	0	1	0
11120	6	2	3	2
21810	0	0	4	0
33136	3	11	4	4
33467	4	5	4	0
43326	3	0	0	0
43327	2	6	3	3
43328	0	1	3	0
43329	0	0	4	0
43330	1	0	1	0
11630	8	0	0	0
23270	7	3	1	0
43331	1	0	0	0
43332	1	0	0	0
24642	1	2	1	1
24643	13	0	0	0
43333	1	2	0	0
43334	5	2	0	0
13564	6	0	0	0
15439	2	2	3	0
25890	4	0	1	0
38377	2	7	2	0
38620	1	0	0	0
38621	1	0	0	0
38622	3	7	1	0
38623	0	0	1	0
38624	3	0	1	0
38625	0	1	1	0
2319	2	1	1	0
10214	3	1	1	0
21680	6	0	5	0
43335	0	0	2	0
43336	0	0	3	0
4576	2	6	3	3
6720	7	3	4	4
8322	3	3	0	0
9013	5	8	2	1
11914	3	0	0	0
11982	16	3	10	11
13617	5	3	1	0
14848	4	0	3	0
15202	6	5	1	0
15239	7	46	1	0
15361	8	3	5	0
15468	10	13	4	0
15646	7	1	3	0
16036	9	2	24	1
16654	2	0	0	1
17170	5	1	1	0
17288	7	1	0	0
20207	8	16	5	11
21009	6	5	2	17
24856	2	0	0	0
24902	3	5	3	0
26227	4	2	2	0
30388	5	0	3	0
34637	1	0	4	0
38813	9	0	3	0
39210	9	0	1	0
40574	4	12	1	0
41742	3	1	3	3
43337	1	0	0	0
43338	1	1	0	0
43339	1	7	0	0
43340	2	0	0	0
43341	2	3	0	0
43342	2	0	0	0
43343	2	0	0	0
43344	1	0	0	0
43345	1	5	0	0
43346	3	8	0	0
43347	1	0	0	0
43348	1	0	0	0
43349	1	0	0	1
43350	3	0	0	0
43351	1	2	1	0
43352	0	0	1	0
43353	0	0	1	0
43354	1	4	1	0
43355	0	0	2	0
43356	0	0	1	0
43357	1	0	3	0
33183	1	0	0	0
33184	1	0	0	0
10568	6	16	0	0
43358	3	0	0	0
10626	3	14	1	12
16468	1	4	0	0
16846	16	56	4	30
17069	2	2	0	0
20135	4	0	2	3
26152	1	21	0	0
30049	3	17	1	4
30123	3	3	8	14
30758	11	0	0	0
31387	4	21	1	12
34115	3	34	1	43
43359	1	22	0	4
43360	2	16	0	0
43361	4	9	0	1
43362	3	57	0	0
43363	3	0	1	1
43364	0	0	1	9
43365	1	0	2	0
43366	2	3	1	1
19338	1	34	0	12
22402	2	0	5	0
34856	0	0	5	0
43367	0	0	2	0
5661	4	5	0	0
22318	3	7	2	17
23553	3	3	1	0
28922	6	1	4	0
31024	7	0	0	0
43368	1	0	0	0
43369	2	0	1	0
43370	3	7	0	1
43371	5	8	1	0
43372	1	0	0	0
43373	1	0	0	0
43374	0	0	1	0
43375	3	48	1	1
43376	1	10	2	24
43377	0	0	1	0
43378	0	0	1	0
43379	0	0	1	0
10289	25	1	1	1
24994	6	5	0	0
4452	3	4	1	1
4524	7	21	17	12
5321	8	139	1	41
13177	6	4	1	3
20542	2	0	2	0
30371	5	0	7	0
30699	7	9	0	1
32420	1	0	1	0
33565	5	4	0	0
43380	2	4	0	0
43381	1	0	0	0
43382	1	1	0	0
43383	1	11	0	1
43384	1	1	1	0
43385	1	2	0	3
43386	3	9	0	0
43387	1	1	0	0
43388	0	0	1	1
43389	2	0	0	0
43390	2	7	1	4
43391	1	1	0	0
13144	21	0	0	0
15073	6	10	4	0
18380	3	24	0	1
43392	4	3	0	0
43393	1	2	0	0
43394	3	0	0	0
6277	4	0	4	0
34463	4	0	0	0
43395	1	4	0	0
43396	17	0	0	0
43397	1	4	1	0
43398	1	3	0	0
6563	6	2	0	0
12794	5	0	3	1
42103	4	0	1	0
43399	1	7	0	0
43400	1	0	1	0
43401	0	0	1	0
43402	2	0	3	0
43403	0	1	1	0
29333	3	2	0	0
43404	2	0	0	0
43405	1	1	0	0
43406	1	0	0	0
2094	5	20	0	1
2095	14	0	0	0
2098	12	2	7	9
9054	2	0	3	0
33403	4	1	1	2
41705	3	0	4	0
27417	3	1	1	2
35549	14	0	0	0
8263	8	1	2	0
20835	1	2	0	0
20836	4	0	2	0
20838	10	11	2	5
20840	0	0	1	0
14743	17	0	6	1
19890	10	11	1	8
30195	8	36	1	10
34137	4	9	0	0
43440	2	0	0	0
43441	2	2	0	0
43442	3	2	0	0
43443	1	65	0	0
11538	18	0	2	0
43444	1	1	1	0
2293	3	0	6	2
10096	21	8	4	1
13189	6	0	6	0
13191	1	0	11	0
13371	3	37	2	6
13635	2	1	2	0
28409	2	0	2	0
28903	3	0	15	0
29973	3	0	3	0
31030	8	3	2	0
40585	1	0	1	0
43445	2	10	0	0
43446	1	0	1	0
43447	0	2	1	0
43448	0	0	1	0
43449	0	0	1	0
43450	2	1	3	0
2333	3	0	1	0
17026	11	0	0	0
17062	2	0	0	0
17063	7	16	4	0
17077	3	0	1	0
17084	4	2	0	0
19780	4	8	3	4
24626	5	0	0	0
25006	1	3	0	5
25008	5	18	0	1
25010	0	0	2	0
7726	5	0	2	0
7936	5	6	3	3
12532	5	0	2	0
12537	6	0	3	0
12544	3	2	2	1
12556	2	0	2	0
14364	5	2	4	1
14365	2	0	2	0
14366	2	0	3	0
14367	5	3	5	0
14369	4	2	6	0
14372	3	1	4	0
14373	2	0	4	0
14374	3	0	3	0
14376	7	9	3	0
14377	4	2	4	0
14378	1	0	2	0
14379	4	0	2	1
14382	2	0	2	1
14385	2	0	2	0
14388	3	0	2	0
43451	0	0	2	0
20990	7	0	0	0
43452	1	0	0	0
43453	1	4	1	0
3124	19	23	3	5
4574	14	17	2	2
5065	4	0	0	0
5251	19	0	0	0
5682	24	0	4	0
8289	9	0	4	0
9708	27	0	2	0
13099	8	6	2	0
13344	4	6	1	7
14997	1	0	3	0
15311	6	0	9	0
15780	3	5	2	3
17011	5	1	0	0
17432	8	0	4	0
18797	2	1	8	0
26428	5	0	1	0
28095	5	1	0	0
30286	2	1	0	0
33803	6	15	3	4
34312	2	3	0	0
34736	3	0	2	0
40482	3	0	3	0
41490	2	0	0	0
41491	3	0	1	0
41492	3	0	0	0
41493	1	2	0	0
41494	2	0	0	0
41495	2	4	0	0
41496	2	0	0	0
41497	1	0	0	1
41498	6	0	0	0
41499	1	0	0	0
41500	6	0	0	0
41501	1	0	1	0
41502	0	0	1	0
41503	1	0	7	0
41504	1	0	1	0
4663	4	6	2	0
5683	14	1	2	2
8629	7	2	1	0
12809	9	2	1	0
13785	8	4	0	0
15084	10	9	0	1
19644	8	0	0	0
19961	1	3	0	0
19962	1	0	0	0
19964	2	7	0	0
19965	1	0	0	0
19966	3	14	0	1
19967	4	31	0	0
19968	2	0	1	0
19969	6	13	0	1
19970	1	2	0	0
19971	2	11	0	0
19972	6	11	0	0
19974	2	0	0	0
19975	1	0	0	0
19976	1	1	0	0
19977	12	20	2	0
19978	1	1	0	0
19979	3	0	0	0
19981	1	12	0	1
19982	3	11	1	9
19983	6	83	3	87
19984	4	7	1	0
19985	4	0	0	0
19987	4	40	0	2
19988	6	16	1	0
19989	1	0	0	0
19990	5	13	0	13
19991	1	0	0	0
19992	3	41	0	0
19993	1	0	0	0
19995	2	2	1	0
19997	1	7	0	0
19999	1	1	0	0
20000	1	2	0	0
20001	2	0	0	0
20002	1	1	0	0
20004	15	96	3	19
20005	1	0	0	0
20006	2	12	0	0
20007	1	0	5	0
16291	4	0	0	0
43454	2	6	0	0
10655	10	0	1	0
22014	6	1	0	0
25280	6	0	1	0
27202	26	0	0	0
35554	1	2	1	2
37091	8	45	0	8
43455	1	0	0	0
43456	1	0	0	0
5421	2	2	0	0
14883	9	45	1	2
16515	6	13	0	0
16527	6	0	0	0
19861	1	8	0	0
20561	4	2	1	0
23811	5	9	0	0
27246	19	5	0	1
27929	2	2	0	0
27931	2	1	0	1
27932	1	2	0	0
27933	2	7	0	0
27936	1	13	0	0
27937	4	6	1	0
27939	2	9	0	2
27940	1	0	0	0
27941	1	4	1	0
27942	2	0	0	0
27943	1	0	0	0
27944	1	4	0	0
27945	1	1	0	1
27946	1	1	0	0
27949	1	1	0	0
27951	4	12	0	0
27953	1	0	0	0
11506	34	2	3	0
17511	8	0	0	0
30536	6	9	2	3
35343	1	0	3	0
3721	8	1	5	0
3722	1	1	0	0
3724	5	6	1	1
3730	17	20	5	0
3733	6	18	0	0
3734	4	0	0	0
3737	3	0	0	0
3740	2	0	3	0
3742	3	0	0	0
3744	9	0	1	0
3747	1	0	0	0
3754	1	0	0	0
3758	4	0	0	0
3760	3	0	0	0
3764	7	12	2	0
3765	1	1	0	0
3778	2	4	0	1
3788	1	0	0	0
3789	1	0	0	0
3790	11	0	0	0
3792	1	0	0	0
3795	6	10	2	0
3796	2	0	0	0
3803	1	1	0	1
3804	2	1	2	0
3808	1	0	0	0
3810	2	23	1	1
3818	9	0	1	0
3820	7	7	0	0
3823	4	9	0	7
3826	8	1	1	0
3830	5	2	0	0
3834	10	4	3	2
3836	7	0	0	0
3842	14	7	5	2
3843	10	12	1	2
3845	4	0	3	0
3846	7	1	0	0
3853	1	0	1	0
3856	1	0	0	0
3857	5	0	1	0
3860	4	0	0	0
3863	1	0	0	0
3865	3	0	0	0
3867	11	0	0	0
3881	1	0	1	0
3885	1	0	2	0
3895	4	3	0	0
3900	3	0	0	0
3901	5	0	1	0
3902	10	15	1	1
3905	2	1	1	0
3906	5	1	1	0
3908	1	0	0	0
3909	2	4	0	0
3913	2	0	0	0
3915	1	0	0	0
3916	1	0	0	0
3917	6	0	2	0
12756	1	0	0	0
12757	2	5	1	0
12758	3	5	0	0
13356	6	0	0	0
30698	3	11	0	0
37020	6	0	0	0
43457	5	0	1	0
10059	2	1	6	0
10427	2	0	1	0
12606	7	29	1	1
15389	7	8	0	0
19323	11	4	3	1
20400	6	1	4	0
21485	13	7	0	5
21897	3	9	1	0
21898	5	7	3	2
21899	3	2	0	1
21900	1	0	0	0
21901	8	1	6	0
21903	2	6	0	0
21905	7	6	2	5
21906	3	0	1	2
21908	1	0	0	0
3656	14	2	2	1
3680	12	0	0	0
4306	10	1	0	0
5628	3	0	0	0
5726	3	0	1	0
6847	2	0	0	0
7117	9	1	0	0
9515	5	0	0	0
9877	4	3	0	0
13415	5	27	2	0
15357	4	2	0	0
16342	4	7	2	4
17384	7	28	2	5
17920	7	0	0	0
18312	3	0	4	0
